X,Y,Z,Rock Type,Density,Economic,CU,AU,Perfin
3475.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3505.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3535.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3565.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3595.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3625.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3655.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3685.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3715.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3745.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3775.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3805.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3835.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3865.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3895.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3925.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3955.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3985.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4015.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4045.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4075.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4105.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4135.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4165.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4195.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4225.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4255.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4285.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4315.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4345.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4375.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4405.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4435.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4465.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4495.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4525.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4555.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4585.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4615.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4645.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4675.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4705.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4735.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4765.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4795.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4825.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4855.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4885.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4915.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4945.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4975.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5005.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5035.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5065.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5095.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5125.0,8250.0,765.0,9,2.7,-6.69,0.0,0.0,0.3
5155.0,8250.0,765.0,9,2.7,-6.69,0.0,0.0,0.3
5185.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5215.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5245.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
5275.0,8250.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3475.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3505.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3535.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3565.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3595.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3625.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3655.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3685.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3715.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3745.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3775.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3805.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3835.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3865.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3895.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3925.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3955.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
3985.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4015.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4045.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4075.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4105.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4135.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4165.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4195.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4225.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4255.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4285.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4315.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4345.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
4375.0,8220.0,765.0,0,0.0,-6.69,0.0,0.0,0.3
